Title,Price,Area,Area-Type
"3 BHK Flat for Sale in Bejai, Mangalore",₹65 Lac,1505 sqft,Carpet Area
"2 BHK Flat for Sale in Krishnapura, Mangalore",₹44 Lac,1100 sqft,Super Area
"2 BHK Flat for Sale in Surathkal, Mangalore",₹45 Lac,1203 sqft,Super Area
"3 BHK Flat for Sale in Hampankatta, Mangalore",₹98 Lac,1402 sqft,Super Area
"2 BHK Flat for Sale in Kavoor, Mangalore",₹35 Lac,1185 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹2.25 Cr,3100 sqft,Carpet Area
"1 BHK Flat for Sale in Valenica, Mangalore",₹25 Lac,720 sqft,Carpet Area
"2 BHK Flat for Sale in Gandhi Nagar, Mangalore",₹20 Lac,800 sqft,Super Area
"2 BHK Flat for Sale in Kadri Hills, Mangalore",₹65 Lac,1390 sqft,Super Area
"3 BHK Flat for Sale in Pandeshwar, Mangalore",₹65 Lac,1650 sqft,Carpet Area
"3 BHK Flat for Sale in Nantoor, Mangalore",₹1.30 Cr,1823 sqft,Super Area
"5 BHK Flat for Sale in Kadri, Mangalore",₹2.80 Cr,5055 sqft,Super Area
"2 BHK Flat for Sale in Derebail, Mangalore",₹35 Lac,840 sqft,Super Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹95 Lac,1410 sqft,Super Area
"2 BHK Flat for Sale in Mary Hill, Mangalore",₹55 Lac,1250 sqft,Carpet Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹70 Lac,1160 sqft,Carpet Area
2 BHK Flat for Sale in Mangalore,₹45 Lac,1000 sqft,Carpet Area
"3 BHK Flat for Sale in Padukodi, Mangalore",₹62 Lac,1470 sqft,Carpet Area
"2 BHK Flat for Sale in Barebail Road, Mangalore",₹35 Lac,780 sqft,Super Area
"2 BHK Flat for Sale in Kadri, Mangalore",₹40 Lac,1200 sqft,Carpet Area
"2 BHK Flat for Sale in Airport road, Mangalore",₹45 Lac,1150 sqft,Carpet Area
"3 BHK Flat for Sale in Kadri Hills, Mangalore",₹1.05 Cr,1565 sqft,Super Area
"2 BHK Flat for Sale in Jeppinamogaru, Mangalore",₹43.5 Lac,1275 sqft,Super Area
"3 BHK Flat for Sale in Kulshekar, Mangalore",₹65 Lac,1256 sqft,Carpet Area
"2 BHK Flat for Sale in Pumpwell, Mangalore",₹83 Lac,1225 sqft,Super Area
"2 BHK Flat for Sale in Nantoor, Mangalore",₹37 Lac,1297 sqft,Carpet Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹68 Lac,1525 sqft,Super Area
"3 BHK Flat for Sale in Mannagudda, Mangalore",₹37.5 Lac,900 sqft,Carpet Area
"3 BHK Flat for Sale in Moodabidri, Mangalore",₹30 Lac,1500 sqft,Super Area
3 BHK Flat for Sale in Mangalore,₹60 Lac,1117 sqft,Carpet Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹40 Lac,834 sqft,Super Area
"3 BHK Flat for Sale in Padil, Mangalore",₹1.15 Cr,1698 sqft,Carpet Area
1 BHK Flat for Sale in Mangalore,₹50 Lac,760 sqft,Carpet Area
"2 BHK Flat for Sale in Arya Samaj Road, Mangalore",₹65 Lac,1250 sqft,Carpet Area
"3 BHK Flat for Sale in Bikarnakatta, Mangalore",₹76 Lac,1490 sqft,Carpet Area
"2 BHK Flat for Sale in Mannagudda, Mangalore",₹72 Lac,1275 sqft,Carpet Area
"2 BHK Flat for Sale in Moodabidri, Mangalore",₹38 Lac,1062 sqft,Super Area
"2 BHK Flat for Sale in Nanthoor, Mangalore",₹55 Lac,1140 sqft,Super Area
"2 BHK Flat for Sale in Derebail, Mangalore",₹532.50 Cr,1065 sqft,Super Area
2 BHK Flat for Sale in Mangalore,₹40 Lac,1050 sqft,Super Area
"2 BHK Flat for Sale in Kulai, Mangalore",₹50 Lac,975 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹60 Lac,1200 sqft,Carpet Area
"3 BHK Flat for Sale in Bejai New Road, Mangalore",₹70 Lac,1350 sqft,Super Area
"3 BHK Flat for Sale in Yeyyadi Indl. Estate, Mangalore",₹1 Cr,3000 sqft,Super Area
"4 BHK Flat for Sale in Yeyyadi Indl. Estate, Mangalore",₹1.70 Cr,3300 sqft,Super Area
"2 BHK Flat for Sale in Pachanady, Mangalore",₹27 Lac,600 sqft,Carpet Area
"2 BHK Flat for Sale in Pachanady, Mangalore",₹28 Lac,650 sqft,Carpet Area
2 BHK Flat for Sale in Mangalore,₹47 Lac,1120 sqft,Carpet Area
"2 BHK Flat for Sale in Bendoor, Mangalore",₹65 Lac,1200 sqft,Carpet Area
"2 BHK Flat for Sale in Pachanady, Mangalore",₹31 Lac,700 sqft,Carpet Area
"3 BHK Flat for Sale in Urwa, Mangalore",₹1.50 Cr,1836 sqft,Super Area
"2 BHK Flat for Sale in Surathkal, Mangalore",₹35 Lac,700 sqft,Carpet Area
"2 BHK Flat for Sale in Padil, Mangalore",₹65 Lac,1335 sqft,Super Area
"1 BHK Flat for Sale in Derebail, Mangalore",₹38 Lac,770 sqft,Carpet Area
"2 BHK Flat for Sale in Kavoor, Mangalore",₹35 Lac,1185 sqft,Super Area
"2 BHK Flat for Sale in Kodailbail, Mangalore",₹50 Lac,1200 sqft,Super Area
"Builder Floor for Sale in Kodailbail, Mangalore",₹48 Lac,220 sqft,Carpet Area
"2 BHK Flat for Sale in Surathkal, Mangalore",₹49 Lac,975 sqft,Super Area
"3 BHK Flat for Sale in Derebail, Mangalore",₹83.8 Lac,1245 sqft,Carpet Area
3 BHK Flat for Sale in Mangalore,₹64 Lac,1450 sqft,Carpet Area
"2 BHK Flat for Sale in Kottara Chowk, Mangalore",₹58.6 Lac,1065 sqft,Super Area
"3 BHK Flat for Sale in Ashok Nagar, Mangalore",₹1.20 Cr,1435 sqft,Carpet Area
"2 BHK Flat for Sale in Jeppinamogaru, Mangalore",₹43.5 Lac,1275 sqft,Super Area
"3 BHK Flat for Sale in Kottara, Mangalore",₹69 Lac,1250 sqft,Carpet Area
"3 BHK Flat for Sale in Kottara Chowk, Mangalore",₹75.4 Lac,1370 sqft,Super Area
"2 BHK Flat for Sale in Kadri, Mangalore",₹38 Lac,950 sqft,Super Area
"5 BHK Flat for Sale in Kulai, Mangalore",₹11.05 Cr,"10,956 sqft",Super Area
"4 BHK Flat for Sale in Kulai, Mangalore",₹4.75 Cr,4657 sqft,Super Area
"4 BHK Flat for Sale in Kulai, Mangalore",₹4.91 Cr,4817 sqft,Super Area
"2 BHK Flat for Sale in Kulai, Mangalore",₹1.83 Cr,1744 sqft,Super Area
"2 BHK Flat for Sale in Kulai, Mangalore",₹1.75 Cr,1659 sqft,Super Area
"2 BHK Flat for Sale in Kodalguttu, Mangalore",₹42 Lac,900 sqft,Carpet Area
"2 BHK Flat for Sale in Kodalguttu, Mangalore",₹42 Lac,900 sqft,Carpet Area
"4 BHK Flat for Sale in Kulai, Mangalore",₹8.24 Cr,4622 sqft,Carpet Area
"2 BHK Flat for Sale in Kavoor, Mangalore",₹49 Lac,1080 sqft,Super Area
"6 BHK Flat for Sale in Mangaladevi, Mangalore",₹1.10 Cr,800 sqft,Carpet Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹86.5 Lac,1410 sqft,Super Area
"2 BHK Flat for Sale in Ashok Nagar, Mangalore",₹56 Lac,920 sqft,Carpet Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹76.5 Lac,1196 sqft,Super Area
"2 BHK Flat for Sale in Derebail, Mangalore",₹56 Lac,980 sqft,Super Area
"2 BHK Flat for Sale in Ashok Nagar, Mangalore",₹36 Lac,950 sqft,Carpet Area
"4 BHK Flat for Sale in Kulai, Mangalore",₹5.56 Cr,3334 sqft,Carpet Area
"2 BHK Flat for Sale in Kodialbail, Mangalore",₹85 Lac,1227 sqft,Super Area
"2 BHK Flat for Sale in Nanthoor, Mangalore",₹47 Lac,1130 sqft,Carpet Area
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹52 Lac,1070 sqft,Carpet Area
"2 BHK Flat for Sale in Surathkal, Mangalore",₹40 Lac,1112 sqft,Super Area
"3 BHK Flat for Sale in Bejai, Mangalore",₹1.16 Cr,1625 sqft,Super Area
"1 BHK Flat for Sale in Surathkal, Mangalore",₹45 Lac,700 sqft,Carpet Area
"3 BHK Flat for Sale in Bajpe, Mangalore",₹69 Lac,2000 sqft,Super Area
"2 BHK Flat for Sale in Moodabidri, Mangalore",₹33 Lac,1240 sqft,Super Area
"2 BHK Flat for Sale in Bendoor, Mangalore",₹76 Lac,1500 sqft,Carpet Area
2 BHK Flat for Sale in Mangalore,₹55 Lac,1300 sqft,Carpet Area
"3 BHK Flat for Sale in Kavoor, Mangalore",₹62 Lac,1470 sqft,Carpet Area
"1 BHK Flat for Sale in Konaje, Mangalore",₹13 Lac,365 sqft,Carpet Area
"2 BHK Flat for Sale in Moodabidri, Mangalore",₹35 Lac,1010 sqft,Super Area
"2 BHK Flat for Sale in Mary Hill, Mangalore",₹60 Lac,1250 sqft,Super Area
"3 BHK Flat for Sale in Kulshekar, Mangalore",₹65 Lac,1256 sqft,Carpet Area
"2 BHK Flat for Sale in Shakti Nagar, Mangalore",₹25 Lac,750 sqft,Carpet Area
"2 BHK Flat for Sale in Kottara Chowk, Mangalore",₹58 Lac,1055 sqft,Super Area
"2 BHK Flat for Sale in Pumpwell, Mangalore",₹83 Lac,1225 sqft,Super Area
3 BHK Flat for Sale in Mangalore,₹75 Lac,1572 sqft,Super Area
"3 BHK Flat for Sale in Kankanady, Mangalore",₹87 Lac,1880 sqft,Carpet Area
"3 BHK Flat for Sale in Derelakatai, Mangalore",₹45 Lac,1400 sqft,Carpet Area
"2 BHK Flat for Sale in Kuntikana, Mangalore",,1400 sqft,Super Area
"3 BHK Flat for Sale in Pumpwell, Mangalore",₹1.65 Cr,1646 sqft,Super Area
"2 BHK Flat for Sale in Bejai, Mangalore",₹1 Cr,1580 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹4 Lac,900 sqft,Carpet Area
"2 BHK Flat for Sale in Krishnapura, Mangalore",₹35 Lac,1300 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹47.3 Lac,1140 sqft,Super Area
"2 BHK Flat for Sale in Kulshekar, Mangalore",₹41.7 Lac,1005 sqft,Super Area
"4 BHK Flat for Sale in Pumpwell, Mangalore",₹2.77 Cr,5228 sqft,Super Area
"2 BHK Flat for Sale in Pumpwell, Mangalore",₹81.4 Lac,1225 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹1.55 Cr,2300 sqft,Super Area
"3 BHK Flat for Sale in Kadri, Mangalore",₹1.53 Cr,2270 sqft,Super Area
"1 BHK Flat for Sale in Kottara Chowk, Mangalore",₹41.8 Lac,705 sqft,Super Area
"3 BHK Flat for Sale in Kottara Chowk, Mangalore",₹1.15 Cr,2045 sqft,Super Area
"2 BHK Flat for Sale in Kudroli, Mangalore",₹98 Lac,1224 sqft,Super Area
