Price,Area,BHK,Location,Type,Price_num,Price/Sqft
65 Lac,2257.5,3,Bejai,Flat,6500000.0,2879.0
44 Lac,1100.0,2,Krishnapura,Flat,4400000.0,4000.0
45 Lac,1203.0,2,Surathkal,Flat,4500000.0,3741.0
98 Lac,1402.0,3,Hampankatta,Flat,9800000.0,6990.0
35 Lac,1185.0,2,Kavoor,Flat,3500000.0,2954.0
2.25 Cr,4650.0,3,Kadri,Flat,22500000.0,4839.0
25 Lac,1080.0,1,Valenica,Flat,2500000.0,2315.0
20 Lac,800.0,2,Nagar,Flat,2000000.0,2500.0
65 Lac,1390.0,2,Kadri,Flat,6500000.0,4676.0
65 Lac,2475.0,3,Pandeshwar,Flat,6500000.0,2626.0
1.30 Cr,1823.0,3,Nantoor,Flat,13000000.0,7131.0
2.80 Cr,5055.0,5,Kadri,Flat,28000000.0,5539.0
35 Lac,840.0,2,Derebail,Flat,3500000.0,4167.0
95 Lac,1410.0,2,Bejai,Flat,9500000.0,6738.0
55 Lac,1875.0,2,Mary Hill,Flat,5500000.0,2933.0
70 Lac,1740.0,3,Bejai,Flat,7000000.0,4023.0
45 Lac,1500.0,2,Others,Flat,4500000.0,3000.0
62 Lac,2205.0,3,Padukodi,Flat,6200000.0,2812.0
35 Lac,780.0,2,Road,Flat,3500000.0,4487.0
40 Lac,1800.0,2,Kadri,Flat,4000000.0,2222.0
45 Lac,1725.0,2,road,Flat,4500000.0,2609.0
1.05 Cr,1565.0,3,Kadri,Flat,10500000.0,6709.0
43.5 Lac,1275.0,2,Jeppinamogaru,Flat,4350000.0,3412.0
65 Lac,1884.0,3,Kulshekar,Flat,6500000.0,3450.0
83 Lac,1225.0,2,Pumpwell,Flat,8300000.0,6776.0
37 Lac,1945.5,2,Nantoor,Flat,3700000.0,1902.0
68 Lac,1525.0,3,Kadri,Flat,6800000.0,4459.0
37.5 Lac,1350.0,3,Mannagudda,Flat,3750000.0,2778.0
30 Lac,1500.0,3,Moodabidri,Flat,3000000.0,2000.0
60 Lac,1675.5,3,Others,Flat,6000000.0,3581.0
40 Lac,834.0,2,Bejai,Flat,4000000.0,4796.0
1.15 Cr,2547.0,3,Padil,Flat,11500000.0,4515.0
50 Lac,1140.0,1,Others,Flat,5000000.0,4386.0
65 Lac,1875.0,2,Road,Flat,6500000.0,3467.0
76 Lac,2235.0,3,Bikarnakatta,Flat,7600000.0,3400.0
72 Lac,1912.5,2,Mannagudda,Flat,7200000.0,3765.0
38 Lac,1062.0,2,Moodabidri,Flat,3800000.0,3578.0
55 Lac,1140.0,2,Nanthoor,Flat,5500000.0,4825.0
532.50 Cr,1065.0,2,Derebail,Flat,5325000000.0,5000000.0
40 Lac,1050.0,2,Others,Flat,4000000.0,3810.0
50 Lac,975.0,2,Kulai,Flat,5000000.0,5128.0
60 Lac,1800.0,3,Kadri,Flat,6000000.0,3333.0
70 Lac,1350.0,3,Road,Flat,7000000.0,5185.0
1 Cr,3000.0,3,Yeyyadi,Flat,10000000.0,3333.0
1.70 Cr,3300.0,4,Yeyyadi,Flat,17000000.0,5152.0
27 Lac,900.0,2,Pachanady,Flat,2700000.0,3000.0
28 Lac,975.0,2,Pachanady,Flat,2800000.0,2872.0
47 Lac,1680.0,2,Others,Flat,4700000.0,2798.0
65 Lac,1800.0,2,Bendoor,Flat,6500000.0,3611.0
31 Lac,1050.0,2,Pachanady,Flat,3100000.0,2952.0
1.50 Cr,1836.0,3,Urwa,Flat,15000000.0,8170.0
35 Lac,1050.0,2,Surathkal,Flat,3500000.0,3333.0
65 Lac,1335.0,2,Padil,Flat,6500000.0,4869.0
38 Lac,1155.0,1,Derebail,Flat,3800000.0,3290.0
50 Lac,1200.0,2,Kodailbail,Flat,5000000.0,4167.0
49 Lac,975.0,2,Surathkal,Flat,4900000.0,5026.0
83.8 Lac,1867.5,3,Derebail,Flat,8380000.0,4487.0
64 Lac,2175.0,3,Others,Flat,6400000.0,2943.0
58.6 Lac,1065.0,2,Kottara,Flat,5860000.0,5502.0
1.20 Cr,2152.5,3,Nagar,Flat,12000000.0,5575.0
69 Lac,1875.0,3,Kottara,Flat,6900000.0,3680.0
75.4 Lac,1370.0,3,Kottara,Flat,7540000.000000001,5504.0
38 Lac,950.0,2,Kadri,Flat,3800000.0,4000.0
11.05 Cr,10956.0,5,Kulai,Flat,110500000.0,10086.0
4.75 Cr,4657.0,4,Kulai,Flat,47500000.0,10200.0
4.91 Cr,4817.0,4,Kulai,Flat,49100000.0,10193.0
1.83 Cr,1744.0,2,Kulai,Flat,18300000.0,10493.0
1.75 Cr,1659.0,2,Kulai,Flat,17500000.0,10549.0
42 Lac,1350.0,2,Kodalguttu,Flat,4200000.0,3111.0
8.24 Cr,6933.0,4,Kulai,Flat,82400000.0,11885.0
49 Lac,1080.0,2,Kavoor,Flat,4900000.0,4537.0
86.5 Lac,1410.0,3,Bejai,Flat,8650000.0,6135.0
56 Lac,1380.0,2,Nagar,Flat,5600000.0,4058.0
76.5 Lac,1196.0,2,Bejai,Flat,7650000.0,6396.0
56 Lac,980.0,2,Derebail,Flat,5600000.0,5714.0
36 Lac,1425.0,2,Nagar,Flat,3600000.0,2526.0
5.56 Cr,5001.0,4,Kulai,Flat,55599999.99999999,11118.0
85 Lac,1227.0,2,Kodailbail,Flat,8500000.0,6927.0
47 Lac,1695.0,2,Nanthoor,Flat,4700000.0,2773.0
52 Lac,1605.0,2,Nagar,Flat,5200000.0,3240.0
40 Lac,1112.0,2,Surathkal,Flat,4000000.0,3597.0
1.16 Cr,1625.0,3,Bejai,Flat,11600000.0,7138.0
45 Lac,1050.0,1,Surathkal,Flat,4500000.0,4286.0
69 Lac,2000.0,3,Bajpe,Flat,6900000.0,3450.0
33 Lac,1240.0,2,Moodabidri,Flat,3300000.0,2661.0
76 Lac,2250.0,2,Bendoor,Flat,7600000.0,3378.0
55 Lac,1950.0,2,Others,Flat,5500000.0,2821.0
62 Lac,2205.0,3,Kavoor,Flat,6200000.0,2812.0
13 Lac,547.5,1,Konaje,Flat,1300000.0,2374.0
35 Lac,1010.0,2,Moodabidri,Flat,3500000.0,3465.0
60 Lac,1250.0,2,Mary Hill,Flat,6000000.0,4800.0
25 Lac,1125.0,2,Nagar,Flat,2500000.0,2222.0
58 Lac,1055.0,2,Kottara,Flat,5800000.0,5498.0
75 Lac,1572.0,3,Others,Flat,7500000.0,4771.0
87 Lac,2820.0,3,Kankanady,Flat,8700000.0,3085.0
45 Lac,2100.0,3,Derlakatte,Flat,4500000.0,2143.0
90.7 Lac,1400.0,2,Kuntikana,Flat,9070000.0,6479.0
1.65 Cr,1646.0,3,Pumpwell,Flat,16500000.0,10024.0
1 Cr,1580.0,2,Bejai,Flat,10000000.0,6329.0
4 Lac,1350.0,2,Kulshekar,Flat,400000.0,296.0
35 Lac,1300.0,2,Krishnapura,Flat,3500000.0,2692.0
47.3 Lac,1140.0,2,Kulshekar,Flat,4730000.0,4149.0
41.7 Lac,1005.0,2,Kulshekar,Flat,4170000.0000000005,4149.0
2.77 Cr,5228.0,4,Pumpwell,Flat,27700000.0,5298.0
81.4 Lac,1225.0,2,Pumpwell,Flat,8140000.000000001,6645.0
1.55 Cr,2300.0,3,Kadri,Flat,15500000.0,6739.0
1.53 Cr,2270.0,3,Kadri,Flat,15300000.0,6740.0
41.8 Lac,705.0,1,Kottara,Flat,4179999.9999999995,5929.0
1.15 Cr,2045.0,3,Kottara,Flat,11500000.0,5623.0
98 Lac,1224.0,2,Kudroli,Flat,9800000.0,8007.0
3.77 Cr,4054.0,4,Kudroli,Flat,37700000.0,9299.0
33.4 Lac,560.0,1,Nagar,Flat,3340000.0,5964.0
54.9 Lac,970.0,2,Nagar,Flat,5490000.0,5660.0
50.9 Lac,970.0,2,Nagar,Flat,5090000.0,5247.0
37.3 Lac,1007.0,2,Kulshekar,Flat,3729999.9999999995,3704.0
25.8 Lac,698.0,1,Kulshekar,Flat,2580000.0,3696.0
1.35 Cr,1589.0,3,Bejai,Flat,13500000.0,8496.0
1.50 Cr,1740.0,3,Bejai,Flat,15000000.0,8621.0
46 Lac,1620.0,2,Nagar,Flat,4600000.0,2840.0
1.45 Cr,2437.5,3,Bejai,Flat,14500000.0,5949.0
95 Lac,2623.5,3,Bejai,Flat,9500000.0,3621.0
1.41 Cr,1284.0,2,Kulai,Flat,14100000.0,10981.0
1.92 Cr,1827.0,2,Kulai,Flat,19200000.0,10509.0
55 Lac,1350.0,2,Bondel,Flat,5500000.0,4074.0
40 Lac,1230.0,2,Nagar,Flat,4000000.0,3252.0
35 Lac,1584.0,2,Kulai,Flat,3500000.0,2210.0
43.7 Lac,1182.0,3,Kulshekar,Flat,4370000.0,3697.0
78.4 Lac,1370.0,3,Kottara,Flat,7840000.000000001,5723.0
61.6 Lac,1065.0,2,Kottara,Flat,6160000.0,5784.0
42.3 Lac,715.0,1,Kottara,Flat,4230000.0,5916.0
42.1 Lac,710.0,1,Kottara,Flat,4210000.0,5930.0
45 Lac,835.0,2,Kankanady,Flat,4500000.0,5389.0
38 Lac,850.0,2,Attavar,Flat,3800000.0,4471.0
82 Lac,1787.0,3,Bikarnakatta,Flat,8200000.0,4589.0
32 Lac,1560.0,2,Others,Flat,3200000.0,2051.0
76.2 Lac,1330.0,3,Kottara,Flat,7620000.0,5729.0
61 Lac,1055.0,2,Kottara,Flat,6100000.0,5782.0
75 Lac,1755.0,2,Kulashekara,Flat,7500000.0,4274.0
1.07 Cr,1810.0,3,Bondel,Flat,10700000.0,5912.0
1018.80 Cr,1415.0,3,Padukodi,Flat,10188000000.0,7200000.0
1249.50 Cr,1470.0,3,Padukodi,Flat,12495000000.0,8500000.0
49.3 Lac,985.0,2,Nagar,Flat,4930000.0,5005.0
28 Lac,840.0,1,Nagar,Flat,2800000.0,3333.0
