,Price,Area,BHK,Location,Type,Price_num,Price/Sqft
0,65 Lac,2257.5,3,Bejai,Flat,6500000.0,2879.0
1,44 Lac,1100.0,2,Krishnapura,Flat,4400000.0,4000.0
2,45 Lac,1203.0,2,Surathkal,Flat,4500000.0,3741.0
3,98 Lac,1402.0,3,Hampankatta,Flat,9800000.0,6990.0
4,35 Lac,1185.0,2,Kavoor,Flat,3500000.0,2954.0
5,2.25 Cr,4650.0,3,Kadri,Flat,22500000.0,4839.0
6,25 Lac,1080.0,1,Valenica,Flat,2500000.0,2315.0
7,20 Lac,800.0,2,Nagar,Flat,2000000.0,2500.0
8,65 Lac,1390.0,2,Kadri,Flat,6500000.0,4676.0
9,65 Lac,2475.0,3,Pandeshwar,Flat,6500000.0,2626.0
10,1.30 Cr,1823.0,3,Nantoor,Flat,13000000.0,7131.0
11,2.80 Cr,5055.0,5,Kadri,Flat,28000000.0,5539.0
12,35 Lac,840.0,2,Derebail,Flat,3500000.0,4167.0
13,95 Lac,1410.0,2,Bejai,Flat,9500000.0,6738.0
14,55 Lac,1875.0,2,Mary Hill,Flat,5500000.0,2933.0
15,70 Lac,1740.0,3,Bejai,Flat,7000000.0,4023.0
16,45 Lac,1500.0,2,Others,Flat,4500000.0,3000.0
17,62 Lac,2205.0,3,Padukodi,Flat,6200000.0,2812.0
18,35 Lac,780.0,2,Road,Flat,3500000.0,4487.0
19,40 Lac,1800.0,2,Kadri,Flat,4000000.0,2222.0
20,45 Lac,1725.0,2,road,Flat,4500000.0,2609.0
21,1.05 Cr,1565.0,3,Kadri,Flat,10500000.0,6709.0
22,43.5 Lac,1275.0,2,Jeppinamogaru,Flat,4350000.0,3412.0
23,65 Lac,1884.0,3,Kulshekar,Flat,6500000.0,3450.0
24,83 Lac,1225.0,2,Pumpwell,Flat,8300000.0,6776.0
25,37 Lac,1945.5,2,Nantoor,Flat,3700000.0,1902.0
26,68 Lac,1525.0,3,Kadri,Flat,6800000.0,4459.0
27,37.5 Lac,1350.0,3,Mannagudda,Flat,3750000.0,2778.0
28,30 Lac,1500.0,3,Moodabidri,Flat,3000000.0,2000.0
29,60 Lac,1675.5,3,Others,Flat,6000000.0,3581.0
30,40 Lac,834.0,2,Bejai,Flat,4000000.0,4796.0
31,1.15 Cr,2547.0,3,Padil,Flat,11500000.0,4515.0
32,50 Lac,1140.0,1,Others,Flat,5000000.0,4386.0
33,65 Lac,1875.0,2,Road,Flat,6500000.0,3467.0
34,76 Lac,2235.0,3,Bikarnakatta,Flat,7600000.0,3400.0
35,72 Lac,1912.5,2,Mannagudda,Flat,7200000.0,3765.0
36,38 Lac,1062.0,2,Moodabidri,Flat,3800000.0,3578.0
37,55 Lac,1140.0,2,Nanthoor,Flat,5500000.0,4825.0
38,532.50 Cr,1065.0,2,Derebail,Flat,5325000000.0,5000000.0
39,40 Lac,1050.0,2,Others,Flat,4000000.0,3810.0
40,50 Lac,975.0,2,Kulai,Flat,5000000.0,5128.0
41,60 Lac,1800.0,3,Kadri,Flat,6000000.0,3333.0
42,70 Lac,1350.0,3,Road,Flat,7000000.0,5185.0
43,1 Cr,3000.0,3,Yeyyadi,Flat,10000000.0,3333.0
44,1.70 Cr,3300.0,4,Yeyyadi,Flat,17000000.0,5152.0
45,27 Lac,900.0,2,Pachanady,Flat,2700000.0,3000.0
46,28 Lac,975.0,2,Pachanady,Flat,2800000.0,2872.0
47,47 Lac,1680.0,2,Others,Flat,4700000.0,2798.0
48,65 Lac,1800.0,2,Bendoor,Flat,6500000.0,3611.0
49,31 Lac,1050.0,2,Pachanady,Flat,3100000.0,2952.0
50,1.50 Cr,1836.0,3,Urwa,Flat,15000000.0,8170.0
51,35 Lac,1050.0,2,Surathkal,Flat,3500000.0,3333.0
52,65 Lac,1335.0,2,Padil,Flat,6500000.0,4869.0
53,38 Lac,1155.0,1,Derebail,Flat,3800000.0,3290.0
55,50 Lac,1200.0,2,Kodailbail,Flat,5000000.0,4167.0
57,49 Lac,975.0,2,Surathkal,Flat,4900000.0,5026.0
58,83.8 Lac,1867.5,3,Derebail,Flat,8380000.0,4487.0
59,64 Lac,2175.0,3,Others,Flat,6400000.0,2943.0
60,58.6 Lac,1065.0,2,Kottara,Flat,5860000.0,5502.0
61,1.20 Cr,2152.5,3,Nagar,Flat,12000000.0,5575.0
63,69 Lac,1875.0,3,Kottara,Flat,6900000.0,3680.0
64,75.4 Lac,1370.0,3,Kottara,Flat,7540000.000000001,5504.0
65,38 Lac,950.0,2,Kadri,Flat,3800000.0,4000.0
66,11.05 Cr,10956.0,5,Kulai,Flat,110500000.0,10086.0
67,4.75 Cr,4657.0,4,Kulai,Flat,47500000.0,10200.0
68,4.91 Cr,4817.0,4,Kulai,Flat,49100000.0,10193.0
69,1.83 Cr,1744.0,2,Kulai,Flat,18300000.0,10493.0
70,1.75 Cr,1659.0,2,Kulai,Flat,17500000.0,10549.0
71,42 Lac,1350.0,2,Kodalguttu,Flat,4200000.0,3111.0
73,8.24 Cr,6933.0,4,Kulai,Flat,82400000.0,11885.0
74,49 Lac,1080.0,2,Kavoor,Flat,4900000.0,4537.0
76,86.5 Lac,1410.0,3,Bejai,Flat,8650000.0,6135.0
77,56 Lac,1380.0,2,Nagar,Flat,5600000.0,4058.0
78,76.5 Lac,1196.0,2,Bejai,Flat,7650000.0,6396.0
79,56 Lac,980.0,2,Derebail,Flat,5600000.0,5714.0
80,36 Lac,1425.0,2,Nagar,Flat,3600000.0,2526.0
81,5.56 Cr,5001.0,4,Kulai,Flat,55599999.99999999,11118.0
82,85 Lac,1227.0,2,Kodailbail,Flat,8500000.0,6927.0
83,47 Lac,1695.0,2,Nanthoor,Flat,4700000.0,2773.0
84,52 Lac,1605.0,2,Nagar,Flat,5200000.0,3240.0
85,40 Lac,1112.0,2,Surathkal,Flat,4000000.0,3597.0
86,1.16 Cr,1625.0,3,Bejai,Flat,11600000.0,7138.0
87,45 Lac,1050.0,1,Surathkal,Flat,4500000.0,4286.0
88,69 Lac,2000.0,3,Bajpe,Flat,6900000.0,3450.0
89,33 Lac,1240.0,2,Moodabidri,Flat,3300000.0,2661.0
90,76 Lac,2250.0,2,Bendoor,Flat,7600000.0,3378.0
91,55 Lac,1950.0,2,Others,Flat,5500000.0,2821.0
92,62 Lac,2205.0,3,Kavoor,Flat,6200000.0,2812.0
93,13 Lac,547.5,1,Konaje,Flat,1300000.0,2374.0
94,35 Lac,1010.0,2,Moodabidri,Flat,3500000.0,3465.0
95,60 Lac,1250.0,2,Mary Hill,Flat,6000000.0,4800.0
97,25 Lac,1125.0,2,Nagar,Flat,2500000.0,2222.0
98,58 Lac,1055.0,2,Kottara,Flat,5800000.0,5498.0
100,75 Lac,1572.0,3,Others,Flat,7500000.0,4771.0
